Tweet,Text Label
yeah I got 2 backups for all that. I just hate when that happen. I been strugglin for a week now...handle that tho,Non-Bullying
I hate using my BB  but love my iPhone. Haven't tried the new BB. My BB is provided by my corp. I don't get to pick which model,Non-Bullying
 Get fucking real dude.,Bullying
 She is as dirty as they come  and that crook Rengel  the Dems are so fucking corrupt it's a joke. Make Republicans look like  ...,Bullying
 why did you fuck it up. I could do it all day too. Let's do it when you have an hour. Ping me later to sched writing a book here.,Bullying
 Dude they dont finish enclosing the fucking showers. I hate half assed jobs. Whats the reasononing behind it? Makes no sense.,Bullying
 WTF are you talking about Men? No men thats not a menage  that's just gay.,Bullying
Ill save you the trouble sister. Here comes a big ol fuck France block coming your way here on the twitter.,Bullying
 Im dead serious.Real athletes never cheat don't even have the appearance of at his level. Fuck him dude seriously  I think he did,Bullying
wow lol sounds like a lot of piss then hehehe,Non-Bullying
not a damn thang..the typical rap beef. one person worrying about what the next is doing and the other respondin etc etc,Non-Bullying
...go absolutely insane.hate to be the bearer of bad news..LoL..dont shoot the messenger (cause we all know you bought that pistol,Bullying
well damn!! where have you been when i have needed you 'Mother Time',Non-Bullying
watching without a trace too...hate when i miss the 1st 5 minutes when the person disappears!!!!!,Non-Bullying
which they do most of the time:-P I don't hate them either I wanted to be one once..but I figured out I couldn't live w/ myself,Non-Bullying
Lmao  im watching the same thing ahaha. The gay guy is hilarious! "Dede having a good day and I dont want anyone to mess it up.",Bullying
LOL  no he said  What do you call a jail cell to a gay guy? Paradise! ahaha.,Bullying
truth on both counts that guy is an ass  and their product is sub par. I tell people try Dalesandros orJim's,Bullying
Shakespeare nerd!,Bullying
you are SUCH a fucking dork,Bullying
Heh. Fuck 'em WHERE?!?,Bullying
damn it i totally forgot that one!,Bullying
haha fuck i wish i was there :(,Non-Bullying
paranoid is wack as fuck...the best song on 808s is DEFINITELY Bad News,Non-Bullying
wow  damn I would have been pissed @ that...,Bullying
nigga u geigh lmao! fuck yo finals beeeeeitch,Bullying
in London  I hate thee :( ENJOY YOURSELVES!!! &lt;33333,Non-Bullying
lollipop lolipop...oh loli loli loli....duh duh dum dum dum *Pop* Damn  im so bad at cheeeering people up &lt;3,Non-Bullying
that sucks :(,Bullying
read that this morning. my fav is how they just straight up say "cum shots",Bullying
You pretty sure Angel's ass is fake too huh? I hated that 'I wont answer cuz conroversy is good' shit. That means FAKE.,Non-Bullying
Unibroue 17 !!!! Another damn good Unibroue,Bullying
damn your evil 60 minute IPA beckoning me from the fridge right now...,Bullying
I hear that. I hate charging.,Non-Bullying
It did  then my fucking dad turned it off. I just don't think it likes your movies. I was tryin to watch Nanny Diaries.,Bullying
That sucks. My furnace started making funny noises the other day and I almost had a panic attack. I don't deal with cold well :),Non-Bullying
it pretty much is a fuck you card..,Bullying
that karma is a bitch  HUH,Bullying
don't get too fat or you'll turn into a boomer,Bullying
"DAMN STRAIGHT
9na :)",Non-Bullying
I hate your job too.,Non-Bullying
the hormones are worse for guys.  I cant tell you how much I truly hate the thoughts that go through my head.,Bullying
except for joe jonas the ass munch who broke up w/our tyler via phone..kinda like doing via text - what kind of a-hole does that?,Bullying
man that rly sucks. I for 1 am positive that all will work out. You're a bright dude... pretty cool 2 if I don't say so myself.,Bullying
hard to kick ass yourself with slippers on?  On it.,Bullying
LOL! I'm not proud of my inability to deal with the cold :( I hate the treadmill too  but not as much as the cold...,Non-Bullying
I hate upping more than downing lol @seanzageek Its pretty awesome  AMD hasn't met release dates let alone beaten them in ages :),Non-Bullying
Awesome :) I hate updating the BIOS LOL,Non-Bullying
Thats pretty damn awesome! Very smart :) @Aaronage Sure!,Bullying
Looks like a good competitor :) Wouldn't touch it personally  hate Symbian and Nokia Software :) My N95 is a bitch lol,Non-Bullying
freak'n awesome. so far loving 4.5. the browser is fantastic. and finally video  pretty cool,Bullying
ok that sucks. Someone needs to remind them about progressive enhancment....,Non-Bullying
Omg that sucks  but it's SO funny,Non-Bullying
lol  i know what you mean. But i kinda am a nerd so yeah  but still,Non-Bullying
Damn  that sounds good...,Bullying
they should have a wii loser..that way you can compete with your wii friends.,Bullying
@markmancao haha. i love it! gay nights for all!,Bullying
that's awesome! you're pretty damn good!,Bullying
Faggoty fag fag. Gay secks man blowjob. Settle down.,Bullying
Right. That wouldn't be creepy as fuck.,Bullying
HOLY SHIT. Fuck that band.,Bullying
Gay fag.,Bullying
I hate that bands have wardrobes.,Non-Bullying
that sucks dude  sorry for your loss,Non-Bullying
oh ok it's the dick-in-a-box guys  that explains the timberlake appearance,Bullying
*falls off of bed laughing fabulous ass off* Dude I think that made me BLUSH. WTF? LOL?,Bullying
and @justlikeanovel: *raises hand rather gaily* One real gay man right here  darlings! HOLLA! #supergay,Bullying
okay cool.  I can help you guys this weekend.  Those routers are a bitch to get working some times.,Non-Bullying
